name                ;  RA_ICRS ;   DE_ICRS;    dist;  e_dist;     age;   e_age;     FeH;   e_FeH;      Av;    e_Av;      Nc; 
FSR_1252            ;  110.6518;  -18.7089;    2884;     131;   8.998;   0.034;  -0.165;   0.056;   1.159;   0.054;     381; 
Pismis_1            ;  124.5777;  -37.1035;    4133;     108;   7.824;   0.246;  -0.187;   0.025;   1.909;   0.063;     377; 
Gulliver_59         ;  195.7457;  -64.6247;    1944;      94;   8.019;   0.349;   0.079;   0.041;   1.550;   0.145;     347; 
Basel_18            ;  202.0204;  -62.3073;    1722;      45;   7.381;   0.046;   0.094;   0.052;   1.154;   0.047;     361; 
NGC_1758            ;   76.1781;   23.8133;     850;      11;   8.742;   0.028;  -0.018;   0.038;   1.268;   0.065;     390; 
NGC_5288            ;  207.1877;  -64.6760;    2287;      75;   8.588;   0.347;   0.094;   0.055;   1.705;   0.138;     358; 
ESO_134_12          ;  221.2071;  -59.1503;    2073;      62;   7.333;   0.067;   0.133;   0.053;   2.865;   0.036;     387; 
vdBergh_1           ;   99.2919;    3.0685;    1672;      59;   7.264;   0.269;  -0.087;   0.042;   2.487;   0.107;     392; 
UBC_177             ;  339.7207;   67.0630;    1079;      27;   8.101;   0.066;   0.103;   0.081;   2.221;   0.115;     386; 
NGC_2866            ;  140.5226;  -51.0991;    2370;      48;   8.045;   0.132;  -0.015;   0.035;   2.052;   0.033;     381; 
Waterloo_1          ;   64.7028;   52.8671;    3455;     290;   6.979;   0.067;  -0.251;   0.056;   2.690;   0.028;     389; 
UBC_378             ;  311.5493;   48.8763;    1428;      45;   8.714;   0.242;  -0.034;   0.058;   2.106;   0.141;     388; 
Gulliver_60         ;  303.4523;   29.7071;    1047;      12;   7.992;   0.179;   0.184;   0.059;   1.360;   0.066;     381; 
Ruprecht_47         ;  120.5686;  -31.0776;    3320;     104;   7.903;   0.098;  -0.156;   0.040;   1.130;   0.043;     386; 
Ruprecht_65         ;  129.8459;  -44.0204;    2037;      50;   7.404;   0.038;   0.003;   0.027;   1.823;   0.039;     384; 
NGC_2533            ;  121.7652;  -29.8694;    2532;     100;   9.001;   0.044;  -0.032;   0.055;   1.040;   0.100;     390; 
Ruprecht_127        ;  264.4668;  -36.3057;    2137;      84;   7.125;   0.064;   0.153;   0.040;   2.989;   0.044;     350; 
UPK_40              ;  292.5214;   -6.6420;     636;      65;   8.678;   0.145;  -0.128;   0.054;   1.132;   0.127;     388; 
Czernik_5           ;   28.9230;   61.3613;    3207;     111;   8.350;   0.169;  -0.174;   0.037;   3.177;   0.050;     397; 
NGC_6444            ;  267.4126;  -34.8178;    1638;      87;   8.451;   0.383;   0.188;   0.065;   1.616;   0.148;     331; 
Ruprecht_26         ;  114.2188;  -15.5860;    1038;      11;   8.035;   0.121;  -0.025;   0.037;   0.398;   0.046;     391; 
UBC_296             ;  216.2465;  -61.0447;    1813;      58;   7.486;   0.111;   0.083;   0.058;   1.697;   0.043;     393; 
UBC_516             ;  182.5264;  -62.3365;    2802;      75;   8.662;   0.591;   0.005;   0.029;   1.722;   0.148;     362; 
DBSB_43             ;  150.9732;  -59.2326;    4461;     163;   7.131;   0.061;  -0.056;   0.039;   2.473;   0.024;     387; 
Bochum_13           ;  259.3153;  -35.5088;    1564;      87;   6.940;   0.064;   0.130;   0.040;   2.677;   0.082;     395; 
UBC_63              ;   79.6390;   37.8083;    1478;      20;   7.347;   0.030;  -0.106;   0.051;   0.746;   0.045;     407; 
FSR_0761            ;   83.3415;   39.8403;    2442;     122;   8.746;   0.155;  -0.119;   0.119;   1.420;   0.247;     399; 
FSR_1723            ;  238.7758;  -46.0139;    1484;      29;   8.119;   0.068;   0.075;   0.021;   1.583;   0.032;     390; 
NGC_381             ;   17.0977;   61.5999;    1119;      11;   8.548;   0.095;  -0.011;   0.048;   1.436;   0.047;     405; 
Gulliver_46         ;  186.2432;  -61.9722;    3748;     165;   7.129;   0.060;   0.106;   0.080;   2.777;   0.030;     377; 
SAI_149             ;  354.4520;   60.5752;    2774;     159;   8.084;   0.617;  -0.075;   0.066;   3.453;   0.079;     409; 
NGC_2482            ;  118.7954;  -24.2600;    1208;      35;   8.827;   0.048;  -0.102;   0.112;   0.096;   0.022;     407; 
ESO_371_25          ;  133.2491;  -35.4722;    5295;     389;   9.468;   0.069;  -0.203;   0.046;   1.565;   0.065;     404; 
Platais_9           ;  139.4009;  -43.8957;     187;       2;   7.836;   0.071;  -0.005;   0.042;   0.253;   0.092;     406; 
Archinal_1          ;  283.7102;    5.5466;    1641;      36;   6.811;   0.808;   0.083;   0.092;   5.085;   0.174;     411; 
ESO_589_26          ;  270.5595;  -21.9254;    2271;     193;   7.650;   0.591;   0.270;   0.096;   3.365;   0.096;     392; 
Gulliver_4          ;  122.1701;  -37.4749;    2515;     145;   8.919;   0.452;  -0.133;   0.075;   1.965;   0.115;     406; 
Koposov_36          ;   84.2284;   31.2199;    1640;      60;   7.623;   0.417;  -0.112;   0.062;   2.577;   0.236;     407; 
NGC_2659            ;  130.6271;  -45.0090;    1909;      31;   7.543;   0.180;   0.003;   0.055;   1.598;   0.048;     404; 
UPK_422             ;   88.0321;   -7.5238;    2319;       0;   9.192;   0.000;  -0.635;   0.000;   7.396;   0.000;     413; 
NGC_4463            ;  187.4405;  -64.7994;    1684;      43;   7.492;   0.181;   0.134;   0.045;   1.615;   0.062;     382; 
UPK_20              ;  281.0941;  -14.5659;     461;       0;   8.442;   0.302;  -0.210;   0.081;   1.810;   0.167;     370; 
ESO_130_08          ;  182.6186;  -59.4691;    1295;       8;   8.179;   0.141;  -0.018;   0.031;   1.240;   0.044;     390; 
Pismis_Moreno_1     ;  334.6217;   63.2209;     894;      16;   7.046;   0.127;   0.054;   0.091;   1.898;   0.049;     413; 
Haffner_26          ;  123.9004;  -30.8439;    2635;      58;   8.820;   0.036;  -0.055;   0.055;   0.620;   0.057;     410; 
IC_1590             ;   13.2149;   56.6326;    2532;     188;   6.871;   0.139;  -0.128;   0.073;   1.315;   0.088;     413; 
Ruprecht_61         ;  126.3227;  -34.1409;    3172;     188;   8.999;   0.085;  -0.139;   0.071;   1.286;   0.122;     403; 
Berkeley_27         ;  102.8401;    5.7741;    4032;     302;   9.419;   0.346;  -0.207;   0.028;   1.307;   0.057;     410; 
Koposov_10          ;   86.8591;   35.4311;    2377;     120;   8.279;   0.348;  -0.192;   0.036;   2.505;   0.099;     418; 
Stock_24            ;    9.9580;   61.9671;    2499;      90;   8.092;   0.302;  -0.067;   0.054;   1.838;   0.083;     420; 
UBC_668             ;  250.6654;  -47.9971;    2214;     105;   7.756;   0.367;   0.170;   0.084;   3.006;   0.103;     382; 
Stock_14            ;  175.9447;  -62.5326;    2237;      50;   7.251;   0.033;   0.152;   0.027;   0.882;   0.020;     401; 
Berkeley_1          ;    2.4542;   60.4690;    3541;     152;   8.179;   0.475;  -0.141;   0.045;   2.050;   0.083;     415; 
Ruprecht_97         ;  179.3758;  -62.7022;    2650;     328;   7.350;   0.050;   0.034;   0.020;   1.486;   0.479;     393; 
Alessi_Teutsch_11   ;  304.2059;   52.0102;     638;       2;   8.253;   0.130;   0.024;   0.039;   0.257;   0.047;     419; 
Berkeley_11         ;   65.1311;   44.9242;    2436;     147;   7.794;   0.311;  -0.150;   0.025;   2.750;   0.040;     418; 
FSR_1083            ;  110.5081;    3.5472;    3959;     350;   9.573;   0.069;  -0.128;   0.038;   0.298;   0.029;     419; 
Collinder_74        ;   87.1598;    7.3768;    2261;     164;   9.222;   0.185;  -0.100;   0.052;   1.470;   0.229;     429; 
COIN-Gaia_22        ;   91.0417;   31.6005;    1767;      42;   8.322;   0.104;  -0.067;   0.065;   1.284;   0.052;     425; 
UBC_523             ;  191.6781;  -66.1937;    2867;     147;   8.366;   0.476;   0.089;   0.044;   1.927;   0.130;     404; 
NGC_3228            ;  155.4033;  -51.7725;     461;      14;   7.721;   0.128;  -0.001;   0.067;   0.205;   0.071;     415; 
NGC_6031            ;  241.8985;  -54.0109;    1705;      30;   7.705;   0.202;   0.137;   0.063;   1.632;   0.054;     388; 
Gulliver_2          ;  122.8769;  -37.4046;    1335;      29;   7.007;   0.016;  -0.063;   0.022;   0.945;   0.034;     413; 
ASCC_127            ;  347.2824;   64.9754;     332;      13;   7.549;   0.107;  -0.005;   0.044;   0.575;   0.055;     424; 
BH_23               ;  123.5300;  -36.2622;     432;       1;   7.449;   0.423;  -0.013;   0.034;   0.141;   0.425;     427; 
FSR_0985            ;   92.9451;    7.0080;    1950;      28;   8.592;   0.254;  -0.122;   0.019;   1.461;   0.080;     431; 
Berkeley_69         ;   81.0867;   32.6046;    2857;     375;   8.987;   0.087;  -0.212;   0.110;   2.102;   0.116;     425; 
Bochum_6            ;  113.0121;  -19.4237;    3381;     236;   7.071;   0.070;  -0.096;   0.076;   2.016;   0.101;     429; 
FSR_0494            ;    6.4032;   63.7396;    3493;     136;   8.895;   0.036;  -0.155;   0.049;   2.847;   0.071;     431; 
NGC_5749            ;  222.1659;  -54.5278;    1071;      11;   8.122;   0.059;   0.027;   0.061;   1.176;   0.044;     415; 
UPK_82              ;  298.2139;   26.4639;     504;      18;   8.119;   0.133;  -0.051;   0.065;   0.379;   0.040;     422; 
Antalova_2          ;  262.4912;  -32.5176;    1184;      30;   6.760;   0.073;   0.019;   0.045;   1.336;   0.118;     417; 
Basel_11a           ;  109.3146;  -13.9862;    1317;      27;   8.036;   0.112;  -0.126;   0.043;   0.582;   0.047;     432; 
COIN-Gaia_20        ;   78.6865;   31.6605;    1024;       7;   8.254;   0.091;  -0.128;   0.051;   1.081;   0.081;     440; 
UBC_638             ;  123.7584;  -22.2123;    4907;     218;   9.431;   0.068;  -0.116;   0.078;   0.147;   0.015;     439; 
UBC_634             ;  109.9436;  -18.9817;    2645;      75;   7.814;   0.243;  -0.117;   0.044;   1.016;   0.061;     441; 
FSR_0496            ;    6.6533;   64.0200;    1377;      43;   8.868;   0.082;   0.020;   0.101;   3.066;   0.087;     443; 
UPK_627             ;  245.4147;  -53.2686;     499;      36;   8.583;   0.141;  -0.228;   0.017;   0.311;   0.170;     349; 
Dolidze_16          ;   78.6690;   32.6978;    1221;      49;   7.046;   0.030;  -0.183;   0.055;   1.291;   0.054;     439; 
LP_930              ;  102.8405;   -1.8162;    2276;      64;   9.200;   0.031;   0.032;   0.062;   1.046;   0.080;     443; 
BH_132              ;  186.7291;  -64.0656;    2187;      78;   7.252;   0.110;   0.077;   0.091;   1.824;   0.065;     420; 
King_23             ;  110.4571;   -0.9925;    3235;     192;   9.308;   0.047;  -0.053;   0.077;   0.071;   0.005;     448; 
LP_0866             ;  261.7689;  -39.4062;    1830;     154;   9.590;   0.250;   0.120;   0.045;   2.229;   0.232;     396; 
Ruprecht_93         ;  166.0466;  -61.3718;    2015;      50;   8.503;   0.126;   0.019;   0.056;   0.890;   0.087;     418; 
Stephenson_1        ;  283.5556;   36.9065;     351;       1;   7.789;   0.096;   0.182;   0.088;   0.432;   0.098;     447; 
UBC_316             ;  248.7602;  -47.9595;    1599;      37;   8.684;   0.581;   0.142;   0.057;   2.714;   0.106;     433; 
UBC_631             ;  112.7072;  -14.1413;    3838;     382;   8.273;   0.409;  -0.212;   0.034;   1.366;   0.297;     445; 
UBC_656             ;  160.8762;  -61.1130;    3532;     327;   7.722;   0.372;   0.009;   0.044;   1.738;   0.103;     416; 
LP_0676             ;  149.0165;  -60.1762;    2607;     102;   9.490;   0.038;  -0.124;   0.046;   0.733;   0.068;     434; 
UBC_546             ;  253.6611;  -48.4589;    1724;      44;   8.526;   0.407;   0.317;   0.073;   2.671;   0.108;     433; 
UPK_28              ;  277.3778;   -5.0260;     877;      21;   7.461;   0.335;   0.162;   0.062;   3.255;   0.093;     433; 
IC_2581             ;  156.8493;  -57.6239;    2421;     114;   7.135;   0.079;   0.041;   0.071;   1.435;   0.022;     447; 
LP_2220             ;  127.4473;  -41.3655;    1288;      12;   8.705;   0.063;  -0.100;   0.057;   1.057;   0.106;     442; 
UBC_52              ;   64.7150;   52.3579;    2260;      53;   8.848;   0.058;  -0.110;   0.029;   2.070;   0.072;     446; 
Gulliver_3          ;  122.5323;  -37.2322;    3746;     176;   7.539;   0.369;  -0.155;   0.023;   2.109;   0.075;     447; 
Roslund_3           ;  299.6941;   20.5111;    1617;      28;   8.020;   0.075;   0.112;   0.080;   1.149;   0.059;     439; 
Alessi_62           ;  284.0491;   21.5531;     607;       2;   8.936;   0.014;   0.035;   0.059;   0.864;   0.094;     452; 
Berkeley_73         ;   95.5145;   -6.3228;    5947;     415;   9.307;   0.055;  -0.342;   0.044;   1.041;   0.093;     455; 
Ruprecht_147        ;  288.9573;  -16.2932;     298;       3;   9.466;   0.043;   0.071;   0.054;   0.295;   0.049;     440; 
UBC_643             ;  120.4908;  -34.3819;    3396;     322;   8.573;   0.299;  -0.055;   0.072;   1.528;   0.344;     451; 
Ruprecht_1          ;   99.0778;  -14.1630;    1459;      20;   8.685;   0.077;  -0.065;   0.059;   0.736;   0.078;     458; 
Czernik_19          ;   74.2535;   28.7574;    2117;      62;   8.176;   0.101;  -0.133;   0.035;   2.153;   0.026;     460; 
NGC_2215            ;   95.1968;   -7.2475;     922;       7;   8.817;   0.051;  -0.048;   0.052;   0.794;   0.071;     465; 
ESO_368_11          ;  116.0959;  -34.6417;    1991;      56;   8.683;   0.276;  -0.006;   0.029;   1.769;   0.111;     466; 
UBC_613             ;   79.9775;   38.9808;    3761;     493;   7.019;   0.194;  -0.306;   0.090;   2.306;   0.058;     463; 
FSR_1342            ;  119.4829;  -31.5088;    3363;     230;   7.142;   0.066;  -0.148;   0.040;   2.697;   0.099;     460; 
UPK_645             ;  270.1608;  -42.6666;     684;       4;   8.668;   0.192;  -0.182;   0.043;   0.418;   0.193;     419; 
Ruprecht_107        ;  199.9324;  -64.9404;    3260;      84;   8.090;   0.223;   0.131;   0.030;   1.652;   0.090;     391; 
UPK_80              ;  293.9521;   28.2394;     907;     106;   8.734;   0.162;  -0.080;   0.076;   0.723;   0.195;     421; 
Gulliver_21         ;  106.9783;  -25.4744;     638;       0;   8.177;   0.177;   0.111;   0.156;   0.046;   0.016;     462; 
Ruprecht_48         ;  120.6803;  -32.0497;    3223;      72;   7.970;   0.255;  -0.115;   0.046;   1.493;   0.040;     460; 
ASCC_41             ;  116.5811;    0.1407;     292;       0;   8.000;   0.000;  -0.036;   0.000;   0.010;   0.000;     470; 
UBC_641             ;  115.9984;  -31.0831;    3210;     116;   7.379;   0.176;  -0.124;   0.063;   1.263;   0.083;     466; 
FSR_1163            ;  104.7915;   -9.0507;    2263;      88;   8.991;   0.049;  -0.115;   0.029;   1.617;   0.091;     466; 
SAI_81              ;  118.0340;  -28.1249;    3534;     160;   8.367;   0.390;  -0.086;   0.067;   1.892;   0.103;     476; 
Stock_7             ;   37.4486;   60.6425;     659;       2;   8.175;   0.176;   0.067;   0.039;   1.743;   0.065;     474; 
NGC_2910            ;  142.6338;  -52.9214;    1220;      11;   8.017;   0.111;   0.051;   0.061;   0.790;   0.059;     461; 
UPK_17              ;  279.7445;  -15.0362;     657;       1;   8.674;   0.152;  -0.060;   0.068;   1.718;   0.056;     407; 
NGC_136             ;    7.8998;   61.5098;    4215;     109;   8.458;   0.153;  -0.216;   0.023;   2.123;   0.092;     464; 
UBC_519             ;  185.5052;  -60.4071;    2853;     175;   8.857;   0.114;   0.033;   0.039;   1.792;   0.202;     449; 
NGC_6866            ;  300.9715;   44.1596;    1377;      21;   8.892;   0.031;   0.063;   0.064;   0.514;   0.078;     475; 
Kharchenko_1        ;   92.1846;   24.2756;    2407;      93;   8.671;   0.077;  -0.186;   0.041;   1.549;   0.114;     469; 
IC_348              ;   56.1391;   32.2028;     313;       0;   6.991;   0.162;  -0.227;   0.074;   3.498;   0.932;     474; 
UBC_361             ;  289.9783;   15.1550;    1508;      21;   7.858;   0.155;   0.171;   0.071;   2.144;   0.055;     440; 
FSR_0241            ;  300.7576;   46.1812;    2060;      71;   9.080;   0.022;  -0.031;   0.035;   1.320;   0.050;     468; 
NGC_433             ;   18.7876;   60.1316;    1817;      58;   7.856;   0.070;  -0.104;   0.052;   2.242;   0.050;     482; 
NGC_6613            ;  275.0099;  -17.1010;    1425;      37;   7.498;   0.065;   0.158;   0.048;   1.554;   0.036;     465; 
NGC_1883            ;   81.4798;   46.4924;    3802;     158;   8.627;   0.092;  -0.293;   0.049;   1.823;   0.057;     486; 
Ruprecht_82         ;  146.4085;  -54.0010;    1995;      77;   8.640;   0.104;  -0.006;   0.036;   1.195;   0.096;     472; 
Stock_23            ;   49.0734;   60.5102;     596;       1;   8.152;   0.206;  -0.053;   0.079;   0.972;   0.063;     482; 
NGC_1545            ;   65.1883;   50.2603;     692;       4;   8.126;   0.238;  -0.030;   0.044;   1.237;   0.081;     484; 
UBC_386             ;  319.7971;   61.9458;    1135;      25;   6.894;   0.034;   0.036;   0.029;   1.505;   0.049;     476; 
FSR_0826            ;   85.7935;   29.0014;    3072;     472;   6.949;   0.178;  -0.227;   0.079;   2.780;   0.209;     487; 
Ruprecht_105        ;  188.7075;  -61.5584;    1858;      75;   8.179;   0.270;   0.112;   0.095;   1.959;   0.171;     462; 
UBC_232             ;  120.0972;  -24.2795;    2946;     328;   8.677;   0.190;  -0.005;   0.117;   0.042;   0.016;     483; 
COIN-Gaia_25        ;   91.6047;   20.2248;     787;       5;   8.791;   0.049;  -0.046;   0.047;   0.660;   0.083;     491; 
NGC_3033            ;  147.1585;  -56.4067;    1689;      34;   8.841;   0.065;   0.040;   0.022;   1.028;   0.079;     480; 
UPK_433             ;  103.4373;   -5.8148;     760;       5;   8.584;   0.060;  -0.055;   0.042;   0.376;   0.029;     483; 
FSR_1360            ;  120.3953;  -34.4789;    2244;      58;   8.032;   0.109;  -0.044;   0.031;   1.552;   0.036;     482; 
Basel_8             ;   98.5698;    8.0611;    1479;      26;   8.166;   0.358;   0.001;   0.069;   0.946;   0.058;     488; 
UBC_648             ;  142.5465;  -34.1424;    4118;     202;   9.770;   0.112;  -0.151;   0.046;   0.266;   0.074;     494; 
Gulliver_24         ;    1.1341;   62.8374;    1415;      16;   8.266;   0.191;   0.005;   0.056;   1.515;   0.078;     477; 
Gulliver_52         ;  161.8779;  -59.5171;    2254;      74;   7.353;   0.440;   0.016;   0.054;   1.827;   0.125;     472; 
Sigma_Ori           ;   84.7541;   -2.5746;     396;       0;   8.000;   0.000;  -0.044;   0.000;   0.010;   0.000;     494; 
LP_2238             ;  167.7031;  -56.8407;    1146;      12;   8.712;   0.150;  -0.105;   0.050;   0.440;   0.081;     468; 
NGC_6425            ;  266.7017;  -31.4717;     969;      11;   8.712;   0.024;   0.050;   0.059;   1.094;   0.070;     477; 
NGC_7062            ;  320.8567;   46.3738;    2124;      59;   8.650;   0.166;   0.036;   0.041;   1.679;   0.076;     481; 
Haffner_17          ;  117.8953;  -31.8111;    2934;     121;   7.657;   0.579;  -0.055;   0.056;   3.484;   0.073;     483; 
Hogg_21             ;  251.4000;  -47.7415;    2185;      66;   7.403;   0.037;   0.154;   0.055;   1.971;   0.052;     467; 
LP_589              ;  119.8153;  -19.1332;    2826;      60;   8.702;   0.043;  -0.117;   0.033;   0.268;   0.036;     494; 
Stock_1             ;  294.1005;   25.2128;     386;      10;   8.733;   0.046;   0.059;   0.074;   0.330;   0.035;     462; 
UBC_531             ;  211.8113;  -63.0540;    2323;      68;   7.210;   0.107;   0.056;   0.073;   1.984;   0.043;     474; 
Teutsch_22          ;  315.4246;   44.1108;    3276;     307;   8.543;   0.062;   0.064;   0.048;   2.867;   0.080;     482; 
Berkeley_45         ;  289.7772;   15.7125;    3470;     150;   8.723;   0.041;   0.187;   0.032;   3.174;   0.029;     467; 
NGC_146             ;    8.2509;   63.3253;    2598;     103;   7.400;   0.079;  -0.093;   0.048;   1.849;   0.030;     494; 
Gulliver_11         ;   68.0284;   43.6120;     898;       5;   8.341;   0.296;  -0.001;   0.065;   1.349;   0.066;     497; 
Haffner_5           ;  109.4896;  -22.6514;    1665;      19;   9.679;   0.033;  -0.004;   0.048;   0.777;   0.043;     505; 
UPK_93              ;  300.1772;   30.0312;     637;      40;   8.766;   0.092;  -0.228;   0.043;   0.410;   0.097;     451; 
LP_2253             ;  307.5172;   45.9047;    1384;      23;   8.045;   0.144;   0.027;   0.073;   1.611;   0.106;     498; 
Lynga_3             ;  229.1895;  -58.3642;    3079;    1056;   6.692;   0.030;   0.166;   0.069;   5.298;   0.101;     469; 
NGC_2318            ;  104.8825;  -13.8423;    1278;      23;   8.709;   0.087;  -0.013;   0.026;   1.075;   0.106;     510; 
Czernik_39          ;  286.9260;    4.3397;    2824;     148;   7.418;   0.507;   0.192;   0.067;   2.989;   0.075;     462; 
vdBergh_80          ;   97.7619;   -9.6120;     937;      18;   6.933;   0.120;  -0.053;   0.080;   2.108;   0.202;     508; 
King_19             ;  347.0520;   60.5269;    2487;      81;   8.775;   0.042;  -0.005;   0.046;   2.438;   0.062;     505; 
Ruprecht_44         ;  119.7119;  -28.5690;    4139;     234;   7.217;   0.055;  -0.232;   0.042;   1.972;   0.026;     508; 
ASCC_110            ;  300.7551;   33.5543;    1751;      88;   8.695;   0.318;   0.151;   0.038;   1.356;   0.200;     486; 
Teutsch_10          ;   86.0882;   28.8415;    2606;     113;   8.409;   0.160;  -0.220;   0.064;   2.683;   0.074;     508; 
UPK_467             ;  121.1521;  -11.5551;     572;       0;   8.000;   0.000;  -0.045;   0.000;   0.010;   0.000;     510; 
NGC_7296            ;  336.9918;   52.3319;    2410;      58;   8.400;   0.176;  -0.089;   0.057;   0.793;   0.076;     507; 
NGC_886             ;   35.7879;   63.8207;     988;      13;   8.510;   0.110;  -0.017;   0.077;   1.825;   0.082;     508; 
Gulliver_47         ;  107.9099;    0.8370;    1847;      45;   8.621;   0.039;  -0.116;   0.032;   0.448;   0.051;     509; 
NGC_7788            ;  359.1795;   61.3966;    2690;     106;   7.142;   0.052;  -0.122;   0.028;   1.802;   0.081;     505; 
Pismis_15           ;  143.6816;  -48.0463;    2089;     103;   9.091;   0.049;  -0.042;   0.048;   2.183;   0.048;     500; 
King_21             ;  357.4810;   62.7052;    2811;     147;   7.196;   0.107;  -0.114;   0.050;   2.597;   0.034;     506; 
NGC_7281            ;  336.2972;   57.8579;    2013;      56;   7.563;   0.093;   0.006;   0.037;   1.747;   0.027;     506; 
Haffner_16          ;  117.5868;  -25.4628;    2786;      72;   8.324;   0.331;  -0.058;   0.054;   0.388;   0.033;     510; 
FSR_0716            ;   77.7914;   45.7123;    3361;     159;   9.087;   0.036;  -0.262;   0.023;   1.154;   0.071;     515; 
UBC_500             ;  162.7053;  -55.8775;    2292;      51;   8.309;   0.221;   0.024;   0.042;   1.318;   0.072;     505; 
DC_3                ;  111.7505;  -37.5192;    7949;     228;   9.433;   0.043;  -0.329;   0.031;   1.216;   0.056;     504; 
Gulliver_27         ;  146.0707;  -54.1086;    2537;      94;   8.200;   0.196;  -0.008;   0.038;   1.794;   0.090;     492; 
Stock_10            ;   84.9381;   37.8819;     351;       1;   8.132;   0.122;  -0.120;   0.096;   0.683;   0.129;     518; 
FSR_0852            ;   88.3592;   25.1988;    2609;      68;   7.375;   0.456;  -0.188;   0.050;   2.158;   0.099;     520; 
Ruprecht_45         ;  119.8917;  -16.2893;    3914;     162;   9.643;   0.082;  -0.128;   0.043;   0.131;   0.022;     524; 
Teutsch_66          ;  143.3658;  -52.4037;    3993;     399;   7.010;   0.062;  -0.078;   0.040;   3.210;   0.057;     502; 
Berkeley_30         ;  104.4364;    3.2298;    4091;     139;   8.642;   0.029;  -0.199;   0.040;   1.596;   0.027;     519; 
Berkeley_95         ;  337.0777;   59.1274;    3319;     116;   7.081;   0.054;  -0.080;   0.057;   3.801;   0.061;     516; 
Czernik_30          ;  112.7985;   -9.9492;    6253;     361;   9.489;   0.039;  -0.314;   0.058;   0.976;   0.056;     521; 
Ruprecht_111        ;  219.0130;  -59.9733;    1388;      25;   9.058;   0.043;   0.035;   0.062;   1.706;   0.115;     511; 
UBC_377             ;  314.8401;   45.8477;    2539;     100;   7.469;   0.119;  -0.008;   0.041;   1.758;   0.067;     507; 
UBC_475             ;  123.8921;  -33.9119;    1962;      42;   8.109;   0.136;  -0.058;   0.071;   0.820;   0.045;     505; 
NGC_5593            ;  216.4261;  -54.8009;    1002;      12;   8.297;   0.076;  -0.011;   0.053;   0.916;   0.065;     505; 
Ruprecht_100        ;  181.4912;  -62.6369;    2843;     114;   8.165;   0.483;   0.067;   0.057;   1.842;   0.084;     478; 
Haffner_23          ;  107.4003;  -16.8847;    1965;      51;   8.695;   0.097;  -0.021;   0.038;   0.839;   0.081;     524; 
UBC_379             ;  313.2727;   48.5297;    2074;     150;   7.407;   0.350;   0.042;   0.040;   2.810;   0.141;     521; 
FSR_1180            ;  108.8862;   -9.4497;    2552;      69;   8.713;   0.236;  -0.115;   0.016;   1.595;   0.096;     533; 
BH_37               ;  128.9501;  -43.6138;    3345;     206;   8.379;   0.535;  -0.044;   0.067;   3.427;   0.046;     527; 
UPK_418             ;  112.4759;    5.5790;     825;       0;   8.000;   0.000;  -0.068;   0.000;   0.062;   0.000;     533; 
UBC_194             ;   37.7173;   48.3366;    1276;      28;   8.486;   0.032;  -0.112;   0.063;   0.772;   0.078;     539; 
UBC_549             ;  252.1401;  -46.9336;    2266;     124;   7.294;   0.050;   0.155;   0.065;   2.326;   0.055;     499; 
King_16             ;   10.9122;   64.1780;    2506;      46;   7.378;   0.322;  -0.063;   0.055;   2.528;   0.049;     528; 
UBC_275             ;  167.7101;  -65.7146;    3471;      51;   8.267;   0.223;   0.002;   0.033;   1.625;   0.038;     505; 
UBC_300             ;  223.0187;  -65.3262;    1753;      50;   8.540;   0.165;   0.105;   0.051;   2.168;   0.065;     520; 
UBC_599             ;   11.6844;   60.0701;    4079;     245;   8.487;   0.206;  -0.269;   0.059;   1.417;   0.064;     529; 
UPK_613             ;  226.2597;  -49.1442;     841;      19;   8.387;   0.154;  -0.231;   0.122;   0.656;   0.092;     523; 
BH_55               ;  134.0362;  -39.5124;    3601;     250;   8.995;   0.082;  -0.117;   0.058;   2.203;   0.107;     528; 
BH_72               ;  142.8447;  -53.0411;    4390;     548;   8.542;   0.272;  -0.158;   0.017;   2.771;   0.222;     518; 
BH_78               ;  145.9537;  -56.5724;    5160;     930;   8.698;   0.127;   0.060;   0.110;   3.164;   0.119;     514; 
Collinder_421       ;  305.8643;   41.7002;    1148;      18;   7.853;   0.341;   0.051;   0.075;   2.445;   0.060;     539; 
NGC_6268            ;  255.5168;  -39.7014;    1409;      23;   8.343;   0.052;  -0.044;   0.045;   1.562;   0.050;     537; 
Gulliver_57         ;  141.2304;  -48.0702;    1326;      14;   8.144;   0.182;  -0.019;   0.034;   2.856;   0.041;     541; 
Melotte_72          ;  114.6221;  -10.7028;    2578;      89;   9.097;   0.026;   0.066;   0.063;   0.230;   0.016;     538; 
NGC_2428            ;  114.8221;  -16.5504;    1299;      13;   8.888;   0.023;  -0.030;   0.025;   0.272;   0.022;     539; 
Juchert_20          ;   62.6978;   46.8662;    2603;      78;   8.005;   0.619;  -0.188;   0.047;   2.410;   0.163;     541; 
UPK_379             ;   93.7854;   30.8289;     744;       4;   8.143;   0.420;   0.009;   0.168;   0.788;   0.383;     551; 
Berkeley_6          ;   27.7981;   61.0593;    2448;     111;   7.562;   0.318;  -0.114;   0.029;   2.447;   0.063;     548; 
NGC_2183            ;   92.7210;   -6.2499;     825;      10;   6.858;   0.108;  -0.120;   0.043;   1.657;   0.522;     549; 
FSR_0441            ;  355.5397;   58.5457;    3093;     150;   7.779;   0.367;  -0.094;   0.069;   2.397;   0.059;     544; 
