name                ;  RA_ICRS ;   DE_ICRS;    dist;  e_dist;     age;   e_age;     FeH;   e_FeH;      Av;    e_Av;      Nc; 
LP_2312             ;  223.1395;  -61.5089;    1025;      10;   8.162;   0.216;   0.042;   0.097;   1.753;   0.105;     151; 
UBC_527             ;  204.5524;  -66.6686;    1658;      17;   8.308;   0.180;   0.054;   0.067;   1.077;   0.086;     157; 
Pismis_8            ;  130.4128;  -46.2724;    1747;      72;   7.146;   0.131;  -0.037;   0.123;   2.227;   0.059;     170; 
Negueruela_1        ;  356.8545;   63.2217;    2630;     220;   6.984;   0.048;  -0.164;   0.110;   3.367;   0.051;     169; 
Teutsch_1           ;   84.8731;   33.3502;    3530;      98;   7.661;   0.418;  -0.253;   0.016;   2.052;   0.115;     174; 
COIN-Gaia_34        ;   31.2625;   61.7738;     969;      59;   7.877;   0.618;   0.029;   0.118;   1.938;   0.207;     171; 
Markarian_50        ;  348.8174;   60.4470;    2681;      84;   7.079;   0.050;  -0.067;   0.073;   2.387;   0.103;     177; 
UBC_364             ;  306.2665;   29.7233;    1591;      67;   8.719;   0.052;   0.068;   0.048;   1.925;   0.109;     173; 
COIN-Gaia_37        ;   44.9544;   58.4316;     966;      12;   8.037;   0.062;   0.046;   0.064;   1.962;   0.053;     173; 
NGC_2580            ;  125.3651;  -30.3042;    3989;      39;   8.775;   0.026;  -0.147;   0.046;   0.558;   0.062;     174; 
Gulliver_39         ;  163.6979;  -58.0499;    2465;     119;   8.852;   0.177;  -0.048;   0.060;   1.769;   0.123;     168; 
COIN-Gaia_35        ;   33.4909;   60.0375;    2423;      80;   7.745;   0.513;  -0.099;   0.046;   2.826;   0.073;     180; 
UBC_373             ;  306.8544;   37.6696;    1235;      14;   7.216;   0.061;   0.006;   0.053;   3.124;   0.037;     180; 
Gulliver_5          ;  132.6015;  -45.4904;    2054;      94;   7.083;   0.051;   0.075;   0.062;   2.117;   0.068;     175; 
UFMG_60             ;  214.6587;  -62.6609;    2114;      98;   7.332;   0.280;   0.015;   0.030;   1.961;   0.153;     173; 
NGC_7063            ;  321.1081;   36.4906;     656;       3;   8.187;   0.169;   0.002;   0.025;   0.325;   0.039;     179; 
FSR_1363            ;  122.6578;  -34.6186;    3237;      84;   7.946;   0.190;  -0.105;   0.053;   1.318;   0.061;     176; 
UPK_94              ;  304.7675;   27.5894;     933;      12;   8.626;   0.181;  -0.040;   0.071;   1.211;   0.077;     178; 
Markarian_38        ;  273.8232;  -19.0070;    1662;      48;   7.164;   0.161;   0.031;   0.071;   1.061;   0.048;     170; 
FSR_0771            ;   75.9422;   32.1766;    1462;      44;   8.498;   0.023;   0.016;   0.067;   2.179;   0.072;     182; 
Ivanov_4            ;  105.1423;   -8.8630;    2419;     126;   6.768;   0.122;  -0.199;   0.084;   1.387;   0.074;     184; 
LP_2287             ;  120.6781;  -39.6345;    1034;      10;   9.145;   0.645;   0.023;   0.015;   0.574;   0.190;     182; 
UPK_398             ;   86.0389;    7.0626;     436;       1;   7.118;   0.075;   0.003;   0.078;   0.583;   0.094;     184; 
ESO_130_06          ;  181.9909;  -59.2970;     795;       2;   8.237;   0.181;   0.014;   0.074;   0.514;   0.087;     174; 
Gulliver_56         ;   95.3891;   26.9237;    1956;      55;   8.520;   0.140;  -0.084;   0.033;   0.899;   0.086;     188; 
Ruprecht_50         ;  120.8674;  -30.8772;    1978;      72;   8.922;   0.052;   0.035;   0.057;   0.330;   0.037;     187; 
Dolidze_8           ;  306.1333;   42.3133;     958;      22;   7.061;   0.200;   0.046;   0.116;   3.352;   0.981;     186; 
FSR_0883            ;   91.0909;   22.0362;    2446;      84;   8.283;   0.320;  -0.111;   0.059;   2.123;   0.141;     186; 
Gulliver_14         ;  259.8991;  -36.8053;    1187;      68;   8.672;   0.079;   0.201;   0.061;   1.874;   0.124;     188; 
UPK_108             ;  315.6585;   29.9727;     831;       9;   7.918;   0.243;   0.042;   0.066;   0.334;   0.078;     192; 
UPK_29              ;  278.5898;   -5.4338;     649;       5;   8.546;   0.255;   0.138;   0.093;   2.682;   0.105;     187; 
vdBergh_85          ;  101.7334;    1.3408;    1502;      75;   7.208;   0.133;  -0.043;   0.050;   1.118;   0.252;     188; 
UBC_356             ;  288.8649;   -4.1782;    1057;       9;   8.174;   0.128;   0.059;   0.066;   1.743;   0.025;     185; 
UPK_131             ;  315.4713;   45.3457;     952;      13;   8.650;   0.222;  -0.115;   0.123;   2.101;   0.141;     184; 
UPK_305             ;   40.8784;   39.0785;     399;       1;   8.722;   0.358;  -0.030;   0.059;   0.186;   0.024;     193; 
FSR_0833            ;   91.3305;   30.8320;    3077;     582;   7.242;   0.411;  -0.225;   0.065;   1.677;   0.148;     193; 
NGC_1724            ;   75.8550;   49.4998;    3176;     186;   8.848;   0.573;  -0.300;   0.086;   1.754;   0.193;     193; 
UBC_413             ;   17.6551;   60.4656;    2228;      93;   7.883;   0.248;  -0.043;   0.065;   2.051;   0.135;     193; 
Czernik_14          ;   49.2606;   58.6168;    2944;     131;   8.506;   0.088;  -0.060;   0.052;   3.154;   0.043;     190; 
UBC_655             ;  158.0636;  -62.9037;    3286;     196;   7.395;   0.318;   0.025;   0.053;   1.506;   0.118;     185; 
UPK_51              ;  314.1255;   -6.5712;    1562;       0;   8.520;   0.000;   0.569;   0.000;   5.125;   0.000;     196; 
UPK_624             ;  253.8073;  -60.2786;     394;       0;   7.707;   0.000;  -0.163;   0.000;   5.225;   0.000;     187; 
Hogg_19             ;  247.2330;  -49.1028;    2079;     138;   7.396;   0.288;   0.188;   0.054;   2.355;   0.059;     191; 
UBC_57              ;   62.9579;   42.7351;    1747;      68;   9.217;   0.039;  -0.142;   0.064;   1.541;   0.065;     200; 
Czernik_20          ;   80.1284;   39.5403;    3269;     131;   9.137;   0.025;  -0.245;   0.063;   1.991;   0.062;     199; 
ESO_226_06          ;  246.0472;  -51.1489;    1969;     122;   7.725;   0.475;   0.138;   0.050;   2.639;   0.083;     186; 
Pismis_27           ;   92.7173;   20.6200;    1763;      67;   6.948;   0.023;  -0.098;   0.057;   2.161;   0.196;     199;      
UBC_169             ;  342.6267;   49.4942;    1372;      30;   8.475;   0.049;  -0.121;   0.045;   0.591;   0.077;     197; 
Berkeley_61         ;   12.0361;   67.1993;    2718;      85;   7.926;   0.307;  -0.115;   0.017;   2.540;   0.031;     201; 
UPK_62              ;  289.7125;   20.7846;     874;      13;   8.360;   0.334;  -0.041;   0.073;   3.753;   0.088;     196; 
FSR_0278            ;  307.7683;   51.0250;    1665;      24;   9.403;   0.034;  -0.017;   0.029;   0.857;   0.073;     199; 
Teutsch_61          ;  113.6625;  -19.7875;    2454;      96;   7.427;   0.247;  -0.113;   0.051;   2.011;   0.052;     204; 
BH_54               ;  132.3868;  -44.3528;    2021;      71;   6.767;   0.145;   0.055;   0.060;   2.740;   0.029;     205; 
COIN-Gaia_9         ;   47.7383;   47.9713;     848;       7;   8.274;   0.195;   0.000;   0.042;   1.222;   0.053;     206; 
UPK_23              ;  282.2572;  -12.8617;     953;      12;   8.066;   0.078;  -0.219;   0.155;   1.501;   0.098;     187; 
UPK_394             ;   78.8101;    6.2891;     778;       5;   8.492;   0.177;  -0.118;   0.032;   0.337;   0.053;     205; 
FSR_0385            ;  340.6139;   58.9421;    2004;      91;   8.789;   0.059;  -0.028;   0.083;   2.603;   0.035;     203; 
UBC_157             ;  328.7513;   49.7120;    1149;      11;   8.254;   0.086;   0.001;   0.022;   0.893;   0.028;     202; 
Berkeley_104        ;    0.8650;   63.5864;    4067;     254;   8.956;   0.054;  -0.191;   0.117;   1.829;   0.124;     201; 
COIN-Gaia_10        ;   68.3291;   40.6105;     994;      17;   8.168;   0.231;  -0.082;   0.073;   1.514;   0.172;     203; 
UBC_532             ;  226.4587;  -62.2310;    1709;      88;   7.807;   0.263;   0.137;   0.077;   2.667;   0.075;     189; 
NGC_5606            ;  216.9658;  -59.6344;    2168;      84;   7.028;   0.088;   0.070;   0.058;   1.682;   0.037;     197; 
NGC_6249            ;  254.4574;  -44.8141;    1144;      12;   7.346;   0.042;   0.076;   0.060;   1.570;   0.060;     196; 
Gulliver_55         ;  297.8331;   18.6605;    2318;     107;   9.453;   0.123;   0.101;   0.056;   0.846;   0.165;     191; 
UPK_25              ;  267.9416;   -2.7057;     717;     360;   8.330;   0.169;  -0.232;   0.067;   2.355;   0.346;     208; 
UPK_350             ;  101.6157;   48.6938;    2574;       0;   6.749;   0.000;  -0.736;   0.000;   0.489;   0.000;     208; 
FSR_0158            ;  296.9902;   26.0386;    4056;     399;   7.173;   0.199;   0.043;   0.030;   4.260;   0.046;     192; 
Bochum_3            ;  105.8574;   -5.0235;    2165;      38;   8.402;   0.266;  -0.099;   0.033;   0.735;   0.078;     208; 
UBC_380             ;  317.7078;   47.7233;    2018;      93;   7.508;   0.449;   0.046;   0.049;   1.593;   0.108;     209; 
UPK_528             ;  137.0737;  -43.3459;     951;       6;   8.454;   0.191;  -0.093;   0.054;   0.945;   0.074;     211; 
FSR_0935            ;   98.7758;   17.7388;    2262;     107;   8.796;   0.082;  -0.117;   0.045;   1.335;   0.098;     211; 
Stock_20            ;    6.2957;   62.6175;    2410;      58;   7.250;   0.052;  -0.033;   0.035;   1.476;   0.024;     212; 
LP_2123             ;  297.9696;   22.1076;    1547;      76;   8.128;   0.057;   0.046;   0.088;   2.127;   0.051;     201; 
UBC_247             ;  126.6390;  -50.7031;    1080;      15;   8.089;   0.125;  -0.006;   0.053;   1.239;   0.031;     212; 
Collinder_419       ;  304.5338;   40.7435;     989;      12;   6.693;   0.049;  -0.044;   0.080;   1.236;   0.079;     208; 
Czernik_6           ;   30.5501;   62.8375;    2430;     242;   7.363;   0.514;  -0.099;   0.129;   1.576;   0.105;     208; 
UPK_65              ;  286.5549;   23.3329;     748;       1;   8.396;   0.107;  -0.271;   0.102;   1.406;   0.064;     200; 
UPK_113             ;  317.4352;   34.3950;     683;       5;   8.037;   0.215;   0.063;   0.048;   0.195;   0.019;     212; 
Skiff_J2330+60.2    ;  352.5462;   60.2465;    2698;     239;   7.336;   0.389;  -0.054;   0.046;   3.788;   0.096;     211; 
FSR_0357            ;  337.7288;   53.9560;    4150;     174;   7.430;   0.265;  -0.140;   0.039;   1.752;   0.051;     210; 
